epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.6387500166893005,143.37295532226562,0.001,0.7820000052452087,0.6383495926856995
1,0.8502500057220459,0.40924543142318726,0.001,0.8949999809265137,0.29034730792045593
2,0.9254999756813049,0.18110109865665436,0.001,0.9079999923706055,0.2558962404727936
3,0.937250018119812,0.1490170955657959,0.001,0.9179999828338623,0.25263407826423645
4,0.9592499732971191,0.10967525839805603,0.001,0.9269999861717224,0.22867175936698914
5,0.9735000133514404,0.06879989802837372,0.00090000004,0.9340000152587891,0.2202458679676056
6,0.9772499799728394,0.06776497513055801,0.00090000004,0.9340000152587891,0.21469271183013916
7,0.9825000166893005,0.051259737461805344,0.00090000004,0.9300000071525574,0.2704535126686096
8,0.9867500066757202,0.03825673833489418,0.00090000004,0.9369999766349792,0.23910851776599884
9,0.9909999966621399,0.028359265998005867,0.00090000004,0.9279999732971191,0.29443374276161194
10,0.9909999966621399,0.02628077194094658,0.00081000006,0.9369999766349792,0.2764872908592224
11,0.9929999709129333,0.023698562756180763,0.00081000006,0.9330000281333923,0.27766501903533936
12,0.9950000047683716,0.022123107686638832,0.00081000006,0.9350000023841858,0.2965162694454193
13,0.9944999814033508,0.020086053758859634,0.00081000006,0.9359999895095825,0.28534695506095886
14,0.9944999814033508,0.01964428648352623,0.00081000006,0.925000011920929,0.3678760230541229
15,0.9934999942779541,0.020059652626514435,0.0007290001,0.9340000152587891,0.3061792254447937
16,0.9965000152587891,0.016850927844643593,0.0007290001,0.9359999895095825,0.29325196146965027
17,0.9944999814033508,0.019970793277025223,0.0007290001,0.9350000023841858,0.29121387004852295
18,0.9907500147819519,0.026274506002664566,0.0007290001,0.9300000071525574,0.3552708923816681
