epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.6837499737739563,60.70897674560547,0.001,0.8090000152587891,0.6449781656265259
1,0.8402500152587891,0.38385993242263794,0.001,0.8429999947547913,0.33230260014533997
2,0.8985000252723694,0.23140737414360046,0.001,0.871999979019165,0.2935675382614136
3,0.9337499737739563,0.1693650633096695,0.001,0.8970000147819519,0.262254536151886
4,0.9599999785423279,0.11462574452161789,0.001,0.921999990940094,0.22024978697299957
5,0.9760000109672546,0.07980848103761673,0.00090000004,0.9259999990463257,0.22205866873264313
6,0.9832500219345093,0.0595460906624794,0.00090000004,0.9340000152587891,0.20300301909446716
7,0.9872499704360962,0.046902261674404144,0.00090000004,0.9350000023841858,0.20308002829551697
8,0.9884999990463257,0.03837927430868149,0.00090000004,0.9300000071525574,0.2236771285533905
9,0.9922500252723694,0.03403519466519356,0.00090000004,0.9309999942779541,0.2288537323474884
10,0.9922500252723694,0.025664497166872025,0.00081000006,0.9300000071525574,0.248195081949234
11,0.9937499761581421,0.021347159519791603,0.00081000006,0.9269999861717224,0.2667439579963684
12,0.9909999966621399,0.027799906209111214,0.00081000006,0.9290000200271606,0.27481237053871155
13,0.9932500123977661,0.021997803822159767,0.00081000006,0.9309999942779541,0.27723428606987
14,0.9944999814033508,0.01798100583255291,0.00081000006,0.9300000071525574,0.2811657786369324
15,0.9934999942779541,0.020739126950502396,0.0007290001,0.9290000200271606,0.3174143433570862
