epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.7422916889190674,71.98518371582031,0.001,0.8266666531562805,1.5420180559158325
1,0.8631250262260437,0.7178727984428406,0.001,0.8550000190734863,0.6625177264213562
2,0.8914583325386047,0.4376855492591858,0.001,0.909166693687439,0.3997756540775299
3,0.9416666626930237,0.19851289689540863,0.001,0.8924999833106995,0.5264650583267212
4,0.9283333420753479,0.2954617440700531,0.001,0.925000011920929,0.3764188587665558
5,0.965416669845581,0.10292491316795349,0.00090000004,0.9350000023841858,0.29048773646354675
6,0.9704166650772095,0.0862685889005661,0.00090000004,0.9083333611488342,0.5177667737007141
7,0.9631249904632568,0.13655830919742584,0.00090000004,0.9358333349227905,0.31172871589660645
8,0.9666666388511658,0.10894300788640976,0.00090000004,0.9358333349227905,0.3043503165245056
9,0.9789583086967468,0.06057341396808624,0.00090000004,0.9391666650772095,0.28266045451164246
10,0.9868749976158142,0.036893296986818314,0.00081000006,0.9424999952316284,0.2876676917076111
11,0.9854166507720947,0.042219892144203186,0.00081000006,0.9458333253860474,0.28240883350372314
12,0.9862499833106995,0.04102905094623566,0.00081000006,0.9391666650772095,0.31792694330215454
13,0.9837499856948853,0.04839031398296356,0.00081000006,0.9416666626930237,0.30181050300598145
14,0.9891666769981384,0.031183507293462753,0.00081000006,0.940833330154419,0.2896442413330078
15,0.9866666793823242,0.04196086898446083,0.0007290001,0.9458333253860474,0.30371737480163574
16,0.9891666769981384,0.03117910772562027,0.0007290001,0.9449999928474426,0.3031582236289978
17,0.9902083277702332,0.024967027828097343,0.0007290001,0.9458333253860474,0.28362154960632324
18,0.9900000095367432,0.028205182403326035,0.0007290001,0.9466666579246521,0.32152754068374634
19,0.9904166460037231,0.03114681877195835,0.0007290001,0.9491666555404663,0.30639389157295227
